run_tag,dataset,method,epsilon,seed,dcr_q,norm_dcr,mia_auc,alpha,q,status,fallback_used,notes
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,0,6.102941535666279,37.68941164087488,0.47506666666666664,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,0,6.208014956956953,38.33830454020804,0.48133333333333334,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,0,6.151977271781408,37.992237422959754,0.48201111111111117,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,0,6.217534924676188,38.39709618683962,0.48294444444444445,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,0,6.193532180569573,38.24886450251856,0.48671111111111115,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,madifft,,1,1.1199318294833243,5.5321202101826135,0.4898,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,1,6.65666115863624,32.8818672338462,0.48475555555555555,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,1,6.653002612656597,32.863795137294396,0.49972222222222223,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,1,6.645120196433208,32.82485841548107,0.49229999999999996,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,1,6.647614806556391,32.83718102540757,0.49002222222222214,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,1,6.642477943664539,32.811806496107806,0.4967111111111111,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,1,6.647128610461476,32.83477936561723,0.49164444444444444,0.5,0.01,success,,"Samples: real(500), syn(800)"
