dataset,method,seed,fpr,tpr
breast_cancer,tvae,0,0.122807,0.063333
breast_cancer,tvae,0,0.122807,0.07
breast_cancer,tvae,0,0.140351,0.07
breast_cancer,tvae,0,0.140351,0.08
breast_cancer,tvae,0,0.157895,0.08
breast_cancer,tvae,0,0.157895,0.12
breast_cancer,tvae,0,0.175439,0.12
breast_cancer,tvae,0,0.175439,0.14
breast_cancer,tvae,0,0.192982,0.14
breast_cancer,tvae,0,0.192982,0.146667
breast_cancer,tvae,0,0.210526,0.146667
breast_cancer,tvae,0,0.210526,0.18
breast_cancer,tvae,0,0.245614,0.18
breast_cancer,tvae,0,0.245614,0.183333
breast_cancer,tvae,0,0.280702,0.183333
breast_cancer,tvae,0,0.280702,0.193333
breast_cancer,tvae,0,0.298246,0.193333
breast_cancer,tvae,0,0.298246,0.206667
breast_cancer,tvae,0,0.315789,0.206667
breast_cancer,tvae,0,0.315789,0.22
