dataset,seed,label,utility,mia_auc
pima,1,Privacy-only pick,76.96296296296296,0.4918181818181818
pima,2,Selected (privacy-in-loop),76.81481481481481,0.553982683982684
pima,2,Utility-only pick,83.18518518518519,0.503030303030303
pima,2,Privacy-only pick,43.55555555555555,0.4999134199134199
pima,3,Selected (privacy-in-loop),43.629629629629626,0.5270995670995671
pima,3,Utility-only pick,74.07407407407406,0.4818181818181818
pima,3,Privacy-only pick,74.07407407407406,0.4818181818181818
pima,4,Selected (privacy-in-loop),64.88888888888889,0.51
pima,4,Utility-only pick,78.51851851851852,0.5371861471861473
pima,4,Privacy-only pick,30.14814814814814,0.5013419913419914
pima,1000,Selected (privacy-in-loop),83.18518518518519,0.5288311688311689
pima,1000,Utility-only pick,83.77777777777777,0.5025974025974026
pima,1000,Privacy-only pick,83.77777777777777,0.5025974025974026
